Total Population,id,Geographic Area Name,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over,Male - 5 to 14 years,Male - 15 to 17 years,Male - Under 18 years,Male - 18 to 24 years,Male - 15 to 44 years,Male - 16 years and over,Male - 18 years and over,Male - 21 years and over,Male - 60 years and over,Male - 62 years and over,Male - 65 years and over,Male - 75 years and over,Female - Male - 5 to 14 years,Female - Male - 15 to 17 years,Female - Male - Under 18 years,Female - Male - 18 to 24 years,Female - Male - 15 to 44 years,Female - Male - 16 years and over,Female - Male - 18 years and over,Female - Male - 21 years and over,Female - Male - 60 years and over,Female - Male - 62 years and over,Female - Male - 65 years and over,Female - Male - 75 years and over
169507,0500000US42089,"Monroe County, Pennsylvania",19368,7351,33486,17529,63457,140323,136021,128058,43294,36987,28128,11134,10117,3563,17009,9611,31813,68822,66740,63122,20841,17938,12994,4627,9251,3788,16477,7918,31644,71501,69281,64936,22453,19049,15134,6507
82542,0500000US44005,"Newport County, Rhode Island",7732,2750,13595,7331,29688,70599,68947,65392,25442,22920,18639,7914,4250,1375,7362,3832,15309,34806,34018,32616,12012,10781,8756,3339,3482,1375,6233,3499,14379,35793,34929,32776,13430,12139,9883,4575
126179,0500000US44009,"Washington County, Rhode Island",11108,4247,20408,18541,46837,108963,105771,96402,35759,32156,26155,10543,5777,2188,10537,8745,23035,52496,50847,46460,16519,14812,11795,4262,5331,2059,9871,9796,23802,56467,54924,49942,19240,17344,14360,6281
78374,0500000US45073,"Oconee County, South Carolina",9043,2845,15586,6406,25298,64322,62788,60314,24791,22216,18633,7271,4671,1270,8136,4081,13418,31235,30669,29050,11085,10201,8517,3155,4372,1575,7450,2325,11880,33087,32119,31264,13706,12015,10116,4116
163694,0500000US48187,"Guadalupe County, Texas",23514,7261,41020,14780,65342,126505,122674,114990,30896,27358,22092,8185,12520,3593,21266,8087,33004,62211,59962,55489,14370,12863,9805,3179,10994,3668,19754,6693,32338,64294,62712,59501,16526,14495,12287,5006
865939,0500000US48215,"Hidalgo County, Texas",156885,47237,281292,95259,368464,614895,584647,541888,130718,117037,96015,42512,81184,23232,144152,48527,183761,295763,281241,260056,59106,52412,42240,18075,75701,24005,137140,46732,184703,319132,303406,281832,71612,64625,53775,24437
172578,0500000US48329,"Midland County, Texas",27523,7039,49279,14589,76417,127958,123299,116557,27401,23474,18200,7804,12918,3802,24446,7094,40076,64353,61684,58916,12722,10861,8050,3316,14605,3237,24833,7495,36341,63605,61615,57641,14679,12613,10150,4488
814901,0500000US53061,"Snohomish County, Washington",102861,30078,184546,62737,330063,651542,630355,605497,162378,139020,109883,40993,52374,14715,93788,32329,169041,324602,314092,300946,74693,63776,49304,16922,50487,15363,90758,30408,161022,326940,316263,304551,87685,75244,60579,24071
948201,0500000US55079,"Milwaukee County, Wisconsin",126938,35801,227433,90759,402669,744548,720768,679838,189024,163495,128936,54426,64869,18006,115936,45602,197959,354524,343262,323753,83482,71145,55098,20664,62069,17795,111497,45157,204710,390024,377506,356085,105542,92350,73838,33762
196584,0500000US55101,"Racine County, Wisconsin",25516,7947,45350,15704,73130,157399,151234,145015,46771,39796,32401,13476,12915,4564,23413,8432,37761,77473,74064,70913,21496,18077,14395,5333,12601,3383,21937,7272,35369,79926,77170,74102,25275,21719,18006,8143
133191,0500000US72113,"Ponce Municipio, Puerto Rico",14863,4899,25672,13188,49641,110975,107519,102457,39008,35167,29386,13235,7560,2517,13111,6978,25423,52610,50832,48223,16514,14824,12619,5412,7303,2382,12561,6210,24218,58365,56687,54234,22494,20343,16767,7823
274765,0500000US06047,"Merced County, California",45732,13117,80340,31411,118046,203248,194425,178440,43607,38211,30748,13232,23121,6784,41038,16584,61180,101682,97482,89349,20049,17417,14214,5970,22611,6333,39302,14827,56866,101566,96943,89091,23558,20794,16534,7262
769545,0500000US06081,"San Mateo County, California",89595,25863,158477,55377,307111,628294,611068,588410,172134,152539,124038,54144,46368,13316,81819,28422,157963,309320,299865,287269,77527,68445,54381,22232,43227,12547,76658,26955,149148,318974,311203,301141,94607,84094,69657,31912
107610,0500000US02170,"Matanuska-Susitna Borough, Alaska",16204,5215,28861,9236,43814,82371,78749,74172,20038,16870,13051,4272,8416,2649,14835,4827,22878,42425,40646,38358,9991,8524,6475,2052,7788,2566,14026,4409,20936,39946,38103,35814,10047,8346,6576,2220
212128,0500000US04027,"Yuma County, Arizona",29781,8735,53632,23383,83963,164347,158496,149309,51270,45823,39979,20281,15364,4637,27675,13700,46359,85107,81851,76739,24063,21219,19118,9900,14417,4098,25957,9683,37604,79240,76645,72570,27207,24604,20861,10381
392680,0500000US05119,"Pulaski County, Arkansas",51306,13978,90988,33864,155556,310280,301692,286118,84878,75865,61104,23939,26138,7394,45565,17098,76285,147037,142020,133432,37385,33219,26314,9300,25168,6584,45423,16766,79271,163243,159672,152686,47493,42646,34790,14639
118121,0500000US13045,"Carroll County, Georgia",16739,4933,28077,14957,49571,93282,90044,82167,23597,20657,16788,6523,9187,2559,14818,7332,24100,45025,43419,39947,10716,9434,7753,2714,7552,2374,13259,7625,25471,48257,46625,42220,12881,11223,9035,3809
756865,0500000US13067,"Cobb County, Georgia",100051,31374,178195,67439,316826,601280,578670,548928,134462,117308,92828,34097,50353,15757,89981,34128,156289,288115,276960,261682,60168,50981,40597,13746,49698,15617,88214,33311,160537,313165,301710,287246,74294,66327,52231,20351
202148,0500000US13139,"Hall County, Georgia",28955,9220,51279,18404,78970,157289,150869,141465,41323,36086,30078,12574,14983,4805,26185,9030,39646,77350,74140,69597,18990,16643,13843,5514,13972,4415,25094,9374,39324,79939,76729,71868,22333,19443,16235,7060
79344,0500000US18085,"Kosciusko County, Indiana",11242,3192,18892,7294,29841,62008,60452,57287,18917,16859,13068,5376,6025,1597,9966,4016,15447,30389,29660,28134,8860,7752,6033,2272,5217,1595,8926,3278,14394,31619,30792,29153,10057,9107,7035,3104
180974,0500000US18163,"Vanderburgh County, Indiana",22482,5948,39195,17119,71080,146144,141779,133824,43193,37896,30123,12915,12064,3369,21034,8182,35679,69830,67271,63498,19356,16786,12909,4984,10418,2579,18161,8937,35401,76314,74508,70326,23837,21110,17214,7931
440956,0500000US22033,"East Baton Rouge Parish, Louisiana",54755,16695,100180,60200,194500,351769,340776,314184,89247,78941,62577,24670,28037,8726,50446,28694,95698,165783,160275,148265,39483,34285,26390,9234,26718,7969,49734,31506,98802,185986,180501,165919,49764,44656,36187,15436
168429,0500000US24013,"Carroll County, Maryland",20186,7691,36578,15147,60084,136522,131851,125633,39623,35162,27509,11595,10749,3759,19089,7778,30450,67218,64471,60812,18225,15946,12328,4653,9437,3932,17489,7369,29634,69304,67380,64821,21398,19216,15181,6942
103195,0500000US24045,"Wicomico County, Maryland",12720,3659,22715,15264,42950,83402,80480,72376,22059,19341,16246,6971,6174,2184,11714,6419,20677,38778,37031,33496,9790,8443,6951,2660,6546,1475,11001,8845,22273,44624,43449,38880,12269,10898,9295,4311
830839,0500000US25027,"Worcester County, Massachusetts",97949,32015,174421,80569,321641,677563,656418,619742,185807,164086,129842,53343,50091,16227,89237,40812,162223,330936,320601,301907,85323,74324,58023,21252,47858,15788,85184,39757,159418,346627,335817,317835,100484,89762,71819,32091
292735,0500000US26065,"Ingham County, Michigan",31878,10015,58406,55762,140362,242032,234329,206967,57502,50376,39816,15378,16195,4520,29369,27520,69308,116143,113094,100338,25716,22377,17536,6006,15683,5495,29037,28242,71054,125889,121235,106629,31786,27999,22280,9372
124714,0500000US34019,"Hunterdon County, New Jersey",13909,5287,24239,11182,41054,103883,100475,95880,32110,27779,23280,9151,7378,2652,12422,6256,21281,51320,49598,47089,15196,12923,10741,3761,6531,2635,11817,4926,19773,52563,50877,48791,16914,14856,12539,5390
210433,0500000US36063,"Niagara County, New York",23422,7752,42063,17262,73979,174363,168370,160231,58909,50320,39813,16779,11883,4172,21371,8982,36930,84655,81372,76914,26996,23047,17666,6552,11539,3580,20692,8280,37049,89708,86998,83317,31913,27273,22147,10227
98892,0500000US36079,"Putnam County, New York",10686,4448,19590,8458,35145,82364,79302,76070,25085,21756,17094,6660,5518,2167,10178,4610,17917,40472,39350,37725,12147,9958,7793,2790,5168,2281,9412,3848,17228,41892,39952,38345,12938,11798,9301,3870
102912,0500000US37049,"Craven County, North Carolina",13741,3344,23254,11062,38681,82120,79658,75793,26806,24112,19588,8549,6885,1755,12308,7397,21699,41434,40180,37272,12029,10806,8579,3927,6856,1589,10946,3665,16982,40686,39478,38521,14777,13306,11009,4622
143351,0500000US37151,"Randolph County, North Carolina",18115,5655,32132,10943,51260,115053,111219,106051,34536,31289,25207,10455,9046,3334,16840,5510,25790,56131,53719,51373,15107,13558,11307,4332,9069,2321,15292,5433,25470,58922,57500,54678,19429,17731,13900,6123
76931,0500000US39141,"Ross County, Ohio",8693,3405,16140,6235,28646,63009,60791,57919,18838,16755,13356,5693,4413,1505,8128,3497,15745,33262,32043,30802,8497,7569,5963,2460,4280,1900,8012,2738,12901,29747,28748,27117,10341,9186,7393,3233
792582,0500000US40109,"Oklahoma County, Oklahoma",112988,31070,203376,71419,328420,608586,589206,558530,151828,133260,108277,43965,57810,15788,104278,36272,163849,293880,283932,267694,66958,58794,47138,17382,55178,15282,99098,35147,164571,314706,305274,290836,84870,74466,61139,26583
255001,0500000US48245,"Jefferson County, Texas",34339,9391,61335,24096,104246,199452,193666,183047,52782,46086,36578,16410,17185,4786,30810,12699,56343,102614,99401,93958,23841,20617,15922,6672,17154,4605,30525,11397,47903,96838,94265,89089,28941,25469,20656,9738
307412,0500000US48303,"Lubbock County, Texas",40584,11800,73119,52357,145224,241507,234293,212108,54743,46595,37599,16123,20486,6004,37114,26787,73546,118579,114749,103656,23903,19854,16059,6328,20098,5796,36005,25570,71678,122928,119544,108452,30840,26741,21540,9795
117123,0500000US54003,"Berkeley County, West Virginia",14782,5568,27231,8948,45410,94127,89892,85686,25551,22737,17561,5861,8019,3005,14474,4207,22445,46666,44574,42429,12416,11152,8493,2716,6763,2563,12757,4741,22965,47461,45318,43257,13135,11585,9068,3145
135428,0500000US55073,"Marathon County, Wisconsin",17453,5580,30847,10979,49122,108677,104581,100465,32791,29072,23770,10324,8631,2773,15295,6057,25227,54717,52489,50309,15482,13491,11104,4335,8822,2807,15552,4922,23895,53960,52092,50156,17309,15581,12666,5989
98971,0500000US02090,"Fairbanks North Star Borough, Alaska",12852,3624,23858,11990,47750,77416,75113,69688,15628,13404,10213,2867,6720,1727,12319,7451,26655,42114,41078,37652,7865,7014,5211,1302,6132,1897,11539,4539,21095,35302,34035,32036,7763,6390,5002,1565
73657,0500000US05085,"Lonoke County, Arkansas",10984,3491,19045,5447,28942,56820,54612,52949,14097,12028,9757,3926,5369,1862,9834,2959,14591,27311,26365,25379,6777,5590,4296,1471,5615,1629,9211,2488,14351,29509,28247,27570,7320,6438,5461,2455
1666753,0500000US06001,"Alameda County, California",190834,54903,342511,138017,723283,1361098,1324242,1266435,326369,286760,230510,93768,97600,28042,175317,68944,362789,664521,644862,615618,147022,126964,101082,38224,93234,26861,167194,69073,360494,696577,679380,650817,179347,159796,129428,55544
499942,0500000US06097,"Sonoma County, California",56225,17441,98257,40808,184531,413471,401685,382511,134385,118728,98030,37808,28611,9231,49966,21255,93573,200097,193986,184252,61093,53220,43522,15570,27614,8210,48291,19553,90958,213374,207699,198259,73292,65508,54508,22238
220408,0500000US06113,"Yolo County, California",25649,8367,46898,45713,108767,178782,173510,147247,38255,33631,27177,11413,13095,4395,23476,20508,53274,86555,83532,71020,17277,14985,12244,4917,12554,3972,23422,25205,55493,92227,89978,76227,20978,18646,14933,6496
117027,0500000US09015,"Windham County, Connecticut",13136,4663,22740,12233,46375,98186,94287,88224,27796,23862,18926,7889,6024,2245,10661,6258,23736,48100,46143,42881,12531,11011,8512,3297,7112,2418,12079,5975,22639,50086,48144,45343,15265,12851,10414,4592
1951260,0500000US12011,"Broward County, Florida",229188,70224,412226,155671,748846,1585729,1539034,1476969,451231,395180,324525,143391,115744,35898,209392,80507,373722,765854,741462,708559,204080,176657,142626,59021,113444,34326,202834,75164,375124,819875,797572,768410,247151,218523,181899,84370
177499,0500000US20177,"Shawnee County, Kansas",23902,7361,41948,15249,65767,140069,135551,128489,45542,40744,32776,13441,12151,4054,21756,7778,32848,67123,64700,60949,20094,18474,14717,5238,11751,3307,20192,7471,32919,72946,70851,67540,25448,22270,18059,8203
323780,0500000US21067,"Fayette County, Kentucky",37566,10346,67494,45087,147691,262377,256286,237020,61241,54333,42959,17444,19109,5347,34595,21717,74010,126749,123563,114793,26358,23564,18332,6899,18457,4999,32899,23370,73681,135628,132723,122227,34883,30769,24627,10545
242922,0500000US22017,"Caddo Parish, Louisiana",32686,9264,57735,20271,92375,191124,185187,175844,57613,50596,41620,17581,16597,4543,29061,10060,44693,88507,85710,80686,25140,21273,17385,6722,16089,4721,28674,10211,47682,102617,99477,95158,32473,29323,24235,10859
130562,0500000US22079,"Rapides Parish, Louisiana",17844,5367,32043,10885,50027,102162,98519,93014,29525,26497,21274,8749,9172,2851,16663,5719,25013,48987,47125,44494,13875,11824,9279,3334,8672,2516,15380,5166,25014,53175,51394,48520,15650,14673,11995,5415
159337,0500000US26147,"St. Clair County, Michigan",17953,6805,33130,11965,54560,130845,126207,122049,42683,38085,30013,12171,9424,3802,17437,6288,28107,64895,62143,59948,20001,17330,13900,5083,8529,3003,15693,5677,26453,65950,64064,62101,22682,20755,16113,7088
136349,0500000US27171,"Wright County, Minnesota",22052,6398,37831,10282,51602,103509,98518,94025,24127,21730,17122,6907,11746,3426,20265,5319,26301,51814,49245,46509,11952,10391,7964,3113,10306,2972,17566,4963,25301,51695,49273,47516,12175,11339,9158,3794
700307,0500000US29095,"Jackson County, Missouri",92016,26672,165105,57294,282520,554008,535202,512238,149279,130544,104740,43782,46716,13456,83623,28600,138878,264204,254552,243076,65552,57108,44666,17160,45300,13216,81482,28694,143642,289804,280650,269162,83727,73436,60074,26622
63227,0500000US36051,"Livingston County, New York",6234,2288,11279,9037,24914,53188,51948,46903,15988,14244,11117,4655,3238,1030,5752,4235,12906,27078,26276,24164,7837,6893,5125,1959,2996,1258,5527,4802,12008,26110,25672,22739,8151,7351,5992,2696
1481093,0500000US36103,"Suffolk County, New York",174327,59442,313018,133921,542823,1208636,1168075,1112028,350879,307579,250082,109614,89136,30397,159844,68732,277313,590428,569935,540118,159441,138806,109628,44300,85191,29045,153174,65189,265510,618208,598140,571910,191438,168773,140454,65314
281669,0500000US40027,"Cleveland County, Oklahoma",34812,10673,60611,37308,130795,228067,221058,203243,50924,45186,37308,14585,17661,5296,30668,20034,66860,112547,109480,100722,23315,20697,16839,5841,17151,5377,29943,17274,63935,115520,111578,102521,27609,24489,20469,8744
68362,0500000US40101,"Muskogee County, Oklahoma",9287,3035,16640,6190,25977,53667,51722,49096,15309,13656,11320,5064,4907,1403,8518,3408,12900,25592,24831,23247,7091,6206,4956,1994,4380,1632,8122,2782,13077,28075,26891,25849,8218,7450,6364,3070
67653,0500000US41035,"Klamath County, Oregon",8448,2708,14986,5731,24151,53848,52667,49714,20129,17303,14610,5636,4330,1214,7574,2929,11936,26734,26145,24356,9899,8351,7045,2556,4118,1494,7412,2802,12215,27114,26522,25358,10230,8952,7565,3080
1584138,0500000US42101,"Philadelphia County, Pennsylvania",188323,51527,344091,156776,709576,1274089,1240047,1173058,307503,268427,215755,91760,95487,26266,175208,76546,344137,592313,574809,543307,127833,109313,86658,33200,92836,25261,168883,80230,365439,681776,665238,629751,179670,159114,129097,58560
405905,0500000US45019,"Charleston County, South Carolina",44298,12065,79975,35781,170210,334068,325930,311279,89296,80400,66098,24908,23088,6522,41090,18521,84990,159674,155328,147311,40045,35344,28942,10223,21210,5543,38885,17260,85220,174394,170602,163968,49251,45056,37156,14685
70741,0500000US45047,"Greenwood County, South Carolina",8271,3318,15422,7588,27101,58090,55319,52031,17252,15187,12995,6104,4228,1779,7208,3801,13077,26766,25296,23761,7428,6350,5590,2656,4043,1539,8214,3787,14024,31324,30023,28270,9824,8837,7405,3448
78843,0500000US47141,"Putnam County, Tennessee",8577,3385,16043,11161,34406,64499,62800,57820,18733,16000,13201,5877,3837,1796,7545,6334,18098,32264,31143,28155,8416,7208,5829,2482,4740,1589,8498,4827,16308,32235,31657,29665,10317,8792,7372,3395
128622,0500000US48257,"Kaufman County, Texas",20107,6390,35781,10832,53509,96709,92841,87714,23275,20414,15025,5856,10046,2807,17265,5332,26452,46821,45251,42616,11136,9321,7098,2693,10061,3583,18516,5500,27057,49888,47590,45098,12139,11093,7927,3163
136271,0500000US48381,"Randall County, Texas",18384,5564,32494,13953,55609,107027,103777,97349,29047,25180,20619,8658,9378,2972,16724,7403,28208,52287,50556,47842,12688,11300,9027,3454,9006,2592,15770,6550,27401,54740,53221,49507,16359,13880,11592,5204
79074,0500000US55071,"Manitowoc County, Wisconsin",9222,2939,16065,5511,26269,64781,63009,60542,22378,19759,15941,7054,4972,1401,8438,2803,13508,32350,31513,30131,10253,9071,7328,2895,4250,1538,7627,2708,12761,32431,31496,30411,12125,10688,8613,4159
171020,0500000US55139,"Winnebago County, Wisconsin",19546,6048,34900,20171,69136,140227,136120,127641,38325,33963,27997,12199,9557,2925,17477,10088,36326,70982,68833,64780,17362,15377,12508,4870,9989,3123,17423,10083,32810,69245,67287,62861,20963,18586,15489,7329
147661,0500000US72031,"Carolina Municipio, Puerto Rico",15036,5462,26204,13921,55698,125257,121457,115544,43346,39412,33410,16369,7541,2775,13179,6934,26768,56446,54263,51382,17503,15207,13400,6440,7495,2687,13025,6987,28930,68811,67194,64162,25843,24205,20010,9929
96109,0500000US01095,"Marshall County, Alabama",13213,3897,23959,7839,34630,74664,72150,68992,22771,19929,16487,7143,6866,2079,12058,4278,17853,36572,35180,33841,9833,8899,7026,2856,6347,1818,11901,3561,16777,38092,36970,35151,12938,11030,9461,4287
110445,0500000US04017,"Navajo County, Arizona",16883,4709,29343,9031,38776,83803,81102,76702,27600,23563,20162,8036,8601,2319,14768,4493,20229,41621,40247,38377,12873,10887,9481,3699,8282,2390,14575,4538,18547,42182,40855,38325,14727,12676,10681,4337
465861,0500000US06107,"Tulare County, California",83923,23568,142990,47651,195726,339624,322871,301262,76689,66605,52622,21587,43560,12243,74287,24354,99718,169103,160035,149140,36059,30418,23626,9121,40363,11325,68703,23297,96008,170521,162836,152122,40630,36187,28996,12466
153207,0500000US08077,"Mesa County, Colorado",19537,5693,33709,14826,57611,123093,119498,112091,38857,34854,28801,12276,9841,2835,17029,7059,29324,59515,57865,54411,17983,16621,13200,5257,9696,2858,16680,7767,28287,63578,61633,57680,20874,18233,15601,7019
943823,0500000US09001,"Fairfield County, Connecticut",120689,39527,211990,86019,350499,758754,731833,695465,213405,187586,149824,67801,61253,20290,108034,43744,175968,365489,351628,333081,96987,84838,64953,26886,59436,19237,103956,42275,174531,393265,380205,362384,116418,102748,84871,40915
85832,0500000US12089,"Nassau County, Florida",10299,2956,17088,4894,27775,71032,68744,66433,24966,22574,18787,7216,5407,1596,9022,2585,14240,34798,33676,32212,12056,10481,9087,3617,4892,1360,8066,2309,13535,36234,35068,34221,12910,12093,9700,3599
261059,0500000US17163,"St. Clair County, Illinois",34569,10362,61162,20732,99115,206632,199897,191307,60062,52062,40953,17256,17950,5884,32190,10645,49112,98732,94762,89807,26056,22586,17572,6579,16619,4478,28972,10087,50003,107900,105135,101500,34006,29476,23381,10677
114772,0500000US18035,"Delaware County, Indiana",11643,3761,21430,22581,50578,95928,93342,82846,26512,24283,19931,8926,6283,1921,11327,11269,24984,45376,44035,38968,11417,10028,8329,3472,5360,1840,10103,11312,25594,50552,49307,43878,15095,14255,11602,5454
110007,0500000US18091,"LaPorte County, Indiana",13144,3774,23422,8769,40965,89123,86585,83001,26760,23978,19676,7734,7435,2020,13199,4660,22977,46285,44997,43478,12279,10796,8822,3201,5709,1754,10223,4109,17988,42838,41588,39523,14481,13182,10854,4533
129641,0500000US18095,"Madison County, Indiana",16046,4687,28037,11236,48158,105105,101604,96758,32428,29730,23638,9941,8107,2453,13936,5749,25377,52019,50275,47784,14598,13185,10461,3983,7939,2234,14101,5487,22781,53086,51329,48974,17830,16545,13177,5958
166051,0500000US21117,"Kenton County, Kentucky",22112,5608,39370,14316,66059,130378,126681,120602,34304,30243,24028,9123,10604,3047,19996,7811,33510,63648,61781,58754,15223,13388,10465,3575,11508,2561,19374,6505,32549,66730,64900,61848,19081,16855,13563,5548
242782,0500000US22055,"Lafayette Parish, Louisiana",31222,9269,57348,24580,103171,191441,185434,175183,45018,39820,31864,12377,15775,5036,28955,12919,52059,92663,88835,83696,20187,17265,13795,4718,15447,4233,28393,11661,51112,98778,96599,91487,24831,22555,18069,7659
161503,0500000US24017,"Charles County, Maryland",21193,7242,38138,14945,63187,128614,123365,117872,30961,25942,19917,7711,10793,3583,19326,7508,30770,60745,58179,55035,13939,11918,8720,3223,10400,3659,18812,7437,32417,67869,65186,62837,17022,14024,11197,4488
264870,0500000US26077,"Kalamazoo County, Michigan",32458,9224,57284,41288,117128,213929,207586,190325,55603,49226,39828,16154,16650,5157,30254,20360,59372,104367,100716,91845,24699,22006,17468,6431,15808,4067,27030,20928,57756,109562,106870,98480,30904,27220,22360,9723
156277,0500000US27109,"Olmsted County, Minnesota",20552,6677,38257,11895,61272,122687,118020,112927,32853,28758,24295,11096,10695,3662,19587,5711,30772,59408,56932,54441,14825,12958,10667,4543,9857,3015,18670,6184,30500,63279,61088,58486,18028,15800,13628,6553
96036,0500000US27141,"Sherburne County, Minnesota",14118,4187,25172,7998,39110,73994,70864,67037,14992,13370,10593,3953,7119,2095,12536,4873,21203,38547,36935,34768,7292,6274,4880,1633,6999,2092,12636,3125,17907,35447,33929,32269,7700,7096,5713,2320
92560,0500000US34009,"Cape May County, New Jersey",7757,2911,14739,6735,28714,79952,77821,75621,32273,28774,24068,10483,4057,1604,7818,4042,15600,39377,38117,36599,14797,13090,10931,4555,3700,1307,6921,2693,13114,40575,39704,39022,17476,15684,13137,5928
125043,0500000US35045,"San Juan County, New Mexico",18913,5652,32938,10456,49217,96348,92105,86854,26624,23199,19101,7871,9469,2525,16295,5562,24683,47629,45384,42487,12711,11000,8759,3509,9444,3127,16643,4894,24534,48719,46721,44367,13913,12199,10342,4362
108047,0500000US36089,"St. Lawrence County, New York",12405,3854,21600,14956,42774,89174,86447,77494,25695,22410,18468,7737,6524,2004,11232,8371,23096,45820,44394,39637,12100,10482,8486,3251,5881,1850,10368,6585,19678,43354,42053,37857,13595,11928,9982,4486
533670,0500000US37081,"Guilford County, North Carolina",66543,20894,119037,57836,217681,427824,414633,383724,113925,100298,80474,32855,33591,10479,60334,27319,103364,199068,192451,178543,50112,43363,34298,12917,32952,10415,58703,30517,114317,228756,222182,205181,63813,56935,46176,19938
429899,0500000US39095,"Lucas County, Ohio",55274,16251,98562,39233,165232,341537,331337,314173,98624,86063,70209,28777,28350,8345,50698,20105,81949,162905,157753,148606,43134,37918,30482,11194,26924,7906,47864,19128,83283,178632,173584,165567,55490,48145,39727,17583
648360,0500000US40143,"Tulsa County, Oklahoma",91342,26387,164041,57123,262122,501470,484319,459749,131100,114780,93319,37643,46573,13515,83998,28759,130604,241217,232402,220188,57987,49890,40125,14702,44769,12872,80043,28364,131518,260253,251917,239561,73113,64890,53194,22941
163861,0500000US44003,"Kent County, Rhode Island",17088,6036,30876,12301,58732,137970,132985,129327,44632,38494,30919,13211,9420,3190,16645,6391,29272,66135,63376,61578,20040,16935,13153,5002,7668,2846,14231,5910,29460,71835,69609,67749,24592,21559,17766,8209
370200,0500000US48039,"Brazoria County, Texas",55959,16351,97974,32076,154380,283483,272226,258647,62577,54823,43656,15732,28387,8788,50344,16137,79306,142232,136673,130900,29709,26451,19992,6936,27572,7563,47630,15939,75074,141251,135553,127747,32868,28372,23664,8796
566719,0500000US48491,"Williamson County, Texas",83481,25078,145367,44984,241847,438217,421352,401964,96359,86076,68659,25582,42932,12581,74518,22820,120117,212512,204366,195029,43734,38469,30334,10755,40549,12497,70849,22164,121730,225705,216986,206935,52625,47607,38325,14827
65507,0500000US53045,"Mason County, Washington",7466,1852,12538,5681,21505,54199,52969,50607,19559,17595,14862,5517,3944,1026,6073,3147,11822,28290,27490,26263,9137,7893,6998,2488,3522,826,6465,2534,9683,25909,25479,24344,10422,9702,7864,3029
163129,0500000US55105,"Rock County, Wisconsin",20908,6666,37426,14754,60859,130594,125703,119498,37580,33027,27151,11335,11322,3210,20050,7897,30566,63357,60867,57500,16542,14449,11888,4610,9586,3456,17376,6857,30293,67237,64836,61998,21038,18578,15263,6725
71986,0500000US72097,"Mayagüez Municipio, Puerto Rico",7023,2608,12186,11006,28390,61443,59800,54546,22335,20746,17503,8692,3583,1359,6272,5819,14593,28931,28087,25545,8916,8322,7190,3361,3440,1249,5914,5187,13797,32512,31713,29001,13419,12424,10313,5331
99696,0500000US06057,"Nevada County, California",10476,2672,17079,5111,29157,84536,82617,80575,36584,33053,27746,10253,5231,1343,8779,2698,15259,41080,40029,38743,17132,15149,12775,4569,5245,1329,8300,2413,13898,43456,42588,41832,19452,17904,14971,5684
216072,0500000US12019,"Clay County, Florida",29986,8807,50354,17198,80372,171552,165718,157982,47841,43022,34752,12144,16055,5234,27182,9272,41267,84518,80882,76825,22591,20100,15952,5378,13931,3573,23172,7926,39105,87034,84836,81157,25250,22922,18800,6766
105424,0500000US12055,"Highlands County, Florida",10475,3576,18396,7369,29952,89467,87028,82549,45206,41736,37245,19857,4731,2105,8674,4515,15628,43631,42189,39499,21540,20132,17741,9669,5744,1471,9722,2854,14324,45836,44839,43050,23666,21604,19504,10188
71375,0500000US12131,"Walton County, Florida",8559,2458,14377,5451,24297,58985,56998,55005,19921,17904,14517,5347,4128,1108,6821,3138,12469,N,27813,26553,9495,8352,6975,2463,4431,1350,7556,2313,11828,N,29185,28452,10426,9552,7542,2884
167218,0500000US15009,"Maui County, Hawaii",20515,5883,36038,11697,60809,134611,131180,126296,42244,38045,30492,11827,10655,2985,17054,5999,30925,66802,65228,62729,19991,17605,14319,4977,9860,2898,18984,5698,29884,67809,65952,63567,22253,20440,16173,6850
293557,0500000US23005,"Cumberland County, Maine",30907,10090,54503,24075,111397,245989,239054,229766,74565,67396,53973,21941,16003,5433,28526,12045,56337,118092,114312,109692,34046,30425,23641,8791,14904,4657,25977,12030,55060,127897,124742,120074,40519,36971,30332,13150
309176,0500000US33015,"Rockingham County, New Hampshire",34500,11828,60249,22238,106873,256291,248927,239859,79192,69121,55401,21628,17304,6096,30757,11800,54379,125909,122208,117370,37063,32600,25488,9111,17196,5732,29492,10438,52494,130382,126719,122489,42129,36521,29913,12517
72290,0500000US35031,"McKinley County, New Mexico",12262,3888,20836,7149,29519,54398,51454,47917,14676,11833,9281,4288,6798,1987,10609,3315,14212,25460,23916,22145,5826,4635,3573,1586,5464,1901,10227,3834,15307,28938,27538,25772,8850,7198,5708,2702
77145,0500000US36011,"Cayuga County, New York",8506,2807,15264,5812,28186,63827,61881,59126,19699,17475,14322,6084,4486,1420,7945,3055,15305,32832,31819,30456,9441,8150,6663,2551,4020,1387,7319,2757,12881,30995,30062,28670,10258,9325,7659,3533
2582830,0500000US36047,"Kings County, New York",314729,86998,588823,208684,1130559,2050989,1994007,1915350,499818,441486,358797,154740,160493,44028,300639,101146,548695,951427,922639,882766,208386,182969,146753,58087,154236,42970,288184,107538,581864,1099562,1071368,1032584,291432,258517,212044,96653
